1919, S0573, Scooter, Segway
1920, S0619, Scooter, Segway
1921, S0616, Scooter, Segway
1922, S0560, Scooter, Segway
1923, S0505, Scooter, Segway
1924, S0668, Scooter, Segway
1925, S0599, Scooter, Segway
1926, S0643, Scooter, Segway
1928, S1441, Scooter, Segway
1929, S0513, Scooter, Segway
1930, S0461, Scooter, Segway
1931, S0474, Scooter, Segway
1932, S0492, Scooter, Segway
1933, S0516, Scooter, Segway
1934, S0556, Scooter, Segway
1935, S0649, Scooter, Segway
1936, S0490, Scooter, Segway
1937, S0468, Scooter, Segway
1938, S0564, Scooter, Segway
1939, S0605, Scooter, Segway
1940, S0499, Scooter, Segway
1941, S0448, Scooter, Segway
1942, S0621, Scooter, Segway
1943, S0632, Scooter, Segway
1944, S1442, Scooter, Segway
1945, S0609, Scooter, Segway
1946, S0494, Scooter, Segway
1947, S0511, Scooter, Segway
1948, S0476, Scooter, Segway
1949, S0510, Scooter, Segway
1950, S1436, Scooter, Segway
1951, S0565, Scooter, Segway
1952, S0614, Scooter, Segway
1953, S0466, Scooter, Segway
1954, S0473, Scooter, Segway
1955, S0631, Scooter, Segway
1956, S0626, Scooter, Segway
1957, S0667, Scooter, Segway
1958, S0489, Scooter, Segway
1959, S0603, Scooter, Segway
1961, S0671, Scooter, Segway
1962, S1439, Scooter, Segway
1963, S0706, Scooter, Segway
1965, S0788, Scooter, Segway
1966, S0730, Scooter, Segway
1967, S0789, Scooter, Segway
1968, S0734, Scooter, Segway
1969, S0768, Scooter, Segway
1970, S0731, Scooter, Segway
1971, S0665, Scooter, Segway
1972, S0594, Scooter, Segway
1973, S0463, Scooter, Segway
1974, S0486, Scooter, Segway
1975, S0482, Scooter, Segway
1976, S0477, Scooter, Segway
1977, S0487, Scooter, Segway
1978, S0672, Scooter, Segway
1979, S0554, Scooter, Segway
1980, S0465, Scooter, Segway
1981, S0604, Scooter, Segway
1982, S0485, Scooter, Segway
1983, S0479, Scooter, Segway
1984, S0484, Scooter, Segway
1986, S0471, Scooter, Segway
1987, S0514, Scooter, Segway
1988, S0627, Scooter, Segway
1989, S0576, Scooter, Segway
1990, S0644, Scooter, Segway
1992, S0553, Scooter, Segway
1993, S0518, Scooter, Segway
1994, S0563, Scooter, Segway
1995, S0635, Scooter, Segway
1996, S0634, Scooter, Segway
1997, S0558, Scooter, Segway
1998, S0552, Scooter, Segway
1999, S0517, Scooter, Segway
2000, S0624, Scooter, Segway
2001, S1434, Scooter, Segway
2002, S0618, Scooter, Segway
2003, S0507, Scooter, Segway
2005, S0595, Scooter, Segway
2006, S1416, Scooter, Segway
2007, S0508, Scooter, Segway
2008, S0520, Scooter, Segway
2010, S0551, Scooter, Segway
